filename,date,merchant,location,amount,total_with_tip,category,card,notes
IMG_0511.jpg,2024-11-12,九牛兰州拉面 (San Mateo),San Mateo CA,54.75,,Meals,Visa 2030,Chinese noodle restaurant
IMG_2146.jpg,,P.C. Richard & Son,New York NY,605.12,,Equipment,Credit,Electronics/Mattress - page 1
IMG_2147.jpg,,P.C. Richard & Son,New York NY,605.72,,Equipment,Credit,Electronics/Mattress - page 2
IMG_2224.jpg,2025-03-20,Bouchon Bistro,Yountville CA,190.71,226.71,Meals,Credit,Fine dining - Michael D'Angelo
IMG_2225.jpg,2025-03-20,Wau Thai Element,San Mateo CA,54.54,63.99,Meals,Credit,Thai restaurant
IMG_2226.jpg,2025-09-23,Safeway,San Francisco CA,59.26,,Groceries,Credit,Grocery store
IMG_2407.jpg,2025-09-04,Safeway,San Francisco CA,47.00,,Groceries,Credit,Grocery store
IMG_2408.jpg,2025-02-01,Safeway,San Francisco CA,60.00,,Groceries,Credit,Grocery store
IMG_2410.jpg,2025-03-25,Curry Hyuga,Burlingame CA,87.39,101.39,Meals,Credit,Japanese curry
IMG_2425.jpg,,Sushi Maruyama,San Mateo CA,263.15,319.78,Meals,Visa 2030,Omakase sushi
IMG_2426.jpg,2025-03-27,Taishoken,San Mateo CA,102.53,,Meals,Credit,Ramen restaurant
IMG_2434.jpg,2025-03-28,Samwoosung (ChowNow),New York NY,27.73,,Meals,Visa 2020,Korean food delivery - 61 W 8th St
IMG_2556.jpg,2025-04-11,Broome Street Bar,New York NY,65.35,78.42,Meals,Visa 2030,NYC bar/restaurant
IMG_2589.jpg,,NOMAD (ChowNow),New York NY,20.68,,Meals,Credit,Tikka Masala Sandwich delivery
IMG_2630.jpg,,Restaurant (unidentified),,442.09,,Meals,Credit,Large detailed receipt
IMG_2637.jpg,2025-04-20,Oto Sushi,Redmond WA,143.33,,Meals,Discover,Sushi - Omakase Sashimi
IMG_2683.jpg,,Restaurant (SF),,25.40,,Meals,Credit,Purple lighting - hard to read
IMG_2684.jpg,2025-04-25,Oak Tavern,San Francisco CA,36.38,,Meals,Credit,Michael D'Angelo signed
IMG_2731.jpg,2025-04-28,Garaje,San Francisco CA,116.96,,Meals,Visa 2030,Mexican - 475 3rd St SF
IMG_2748.jpg,2025-04-30,Schroeder's,San Francisco CA,51.00,,Meals,Credit,German restaurant - 240 Front St
IMG_2749.jpg,2025-04-30,Schroeder's,San Francisco CA,51.00,,Meals,Credit,Same receipt duplicate
