id,date,merchant,description,amount,category,subcategory,source_card,receipt_status,ramp_status,business_purpose,notes
RCPT-20250130-001,2025-01-30,Vanta,Vanta SOC2/HIPAA/GDPR compliance Q1 2025,3500.00,Software,Compliance,Amex,found,ALREADY_REIMBURSED,SOC2/HIPAA/GDPR compliance platform,Q1 2025 (Jan-Apr)
RCPT-20250314-WF,2025-03-14,Wellfound,Recruit Pro subscription Mar 2025,149.00,Software,Recruiting,Amex,found,ALREADY_REIMBURSED,Recruiting platform subscription,Monthly subscription
EXP-2025-04-01-001,2025-04-01,Google Cloud,GCP Infrastructure Apr,14500.00,Infrastructure,Cloud Services,Amex,pending,ALREADY_REIMBURSED,Cloud infrastructure for Promptfoo,Monthly GCP billing - added from Amex statement
RCPT-20250414-WF,2025-04-14,Wellfound,Recruit Pro subscription Apr 2025,149.00,Software,Recruiting,Amex,found,ALREADY_REIMBURSED,Recruiting platform subscription,Monthly subscription
BF-20250528-001,2025-05-28,DoorDash,DoorDash - Delivery,23.62,Meals,Delivery,Chase,email_available,ALREADY_REIMBURSED,Business delivery,Backfill: DD *DOORDASH CHODANGGO 855-431-0459 CA
EXP-2025-07-01-001,2025-07-01,Google Cloud,GCP Infrastructure Jul,14673.00,Infrastructure,Cloud Services,Amex,pending,ALREADY_REIMBURSED,Cloud infrastructure for Promptfoo,Monthly GCP billing - added from Amex statement
RCP-2024-11-12-001,2024-11-12,九牛兰州拉面,Lanzhou Noodles San Mateo,54.75,Meals,Working Meals,Visa 2030,photo,NOT_REIMBURSED,Working lunch - San Mateo,Chinese noodle restaurant
BF-20250102-001,2025-01-02,Amazon,Amazon - Supplies,412.51,Equipment,Supplies,Amex,email_available,NOT_REIMBURSED,Business supplies,Backfill: Amazon Web Services AWS.Amazon.com      WA
BF-20250102-006,2025-01-02,Amazon,Amazon - Supplies,0.05,Equipment,Supplies,Amex,email_available,NOT_REIMBURSED,Business supplies,Backfill: Amazon Web Services AWS.Amazon.com      WA
BF-20250104-001,2025-01-04,Apple,Apple - Hardware,14.38,Equipment,Hardware,Amex,email_available,NOT_REIMBURSED,Business hardware,Backfill: APPLE.COM/BILL      INTERNET CHARGE     CA
BF-20250106-001,2025-01-06,Palo,Palo - Restaurant,26.88,Meals,Restaurant,Chase,pending,NOT_REIMBURSED,Business restaurant,Backfill: SQ *PALO ALTO Palo Alto CA
BF-20250107-002,2025-01-07,DoorDash,DoorDash - Delivery,143.10,Meals,Delivery,Chase,email_available,NOT_REIMBURSED,Business delivery,Backfill: DD *DOORDASH COUPACAFE 855-431-0459 CA
BF-20250107-001,2025-01-07,Verve,Verve - Restaurant,22.50,Meals,Restaurant,Chase,pending,NOT_REIMBURSED,Business restaurant,Backfill: SQ *VERVE COFFEE ROASTERS Palo Alto CA
BF-20250109-002,2025-01-09,Aplpay,Aplpay - Other,40.05,Meals,Other,Amex,pending,NOT_REIMBURSED,Business other,Backfill: AplPay WURSTHALL    SAN MATEO           CA
BF-20250109-001,2025-01-09,Google,Google - Other,21.76,Meals,Other,Chase,pending,NOT_REIMBURSED,Business other,Backfill: GOOGLE *ONE AI Premium g.co/helppay# CA
BF-20250110-001,2025-01-10,DoorDash,DoorDash - Delivery,137.10,Meals,Delivery,Chase,email_available,NOT_REIMBURSED,Business delivery,Backfill: DD *DOORDASH ELSINALOE WWW.DOORDASH. CA
BF-20250111-001,2025-01-11,DoorDash,DoorDash - Delivery,21.17,Meals,Delivery,Chase,email_available,NOT_REIMBURSED,Business delivery,Backfill: DD *DOORDASH THEHALALG 855-431-0459 CA
BF-20250112-001,2025-01-12,Bedford,Bedford - Restaurant,64.08,Meals,Restaurant,Chase,pending,NOT_REIMBURSED,Business restaurant,Backfill: TST*BEDFORD GARDENS Brooklyn NY
BF-20250112-002,2025-01-12,DoorDash,DoorDash - Delivery,28.37,Meals,Delivery,Chase,email_available,NOT_REIMBURSED,Business delivery,Backfill: DD *DOORDASH XIANFAMOU 855-431-0459 CA
BF-20250113-001,2025-01-13,Amazon,Amazon - Supplies,76.17,Equipment,Supplies,Chase,email_available,NOT_REIMBURSED,Business supplies,Backfill: Amazon.com*Z52EO5IM2 Amzn.com/bill WA
BF-20250115-002,2025-01-15,Don,Don - Restaurant,168.83,Meals,Restaurant,Chase,pending,NOT_REIMBURSED,Business restaurant,Backfill: TST*DON ANGIE New York NY
BF-20250115-001,2025-01-15,Amazon,Amazon - Supplies,65.31,Equipment,Supplies,Chase,email_available,NOT_REIMBURSED,Business supplies,Backfill: Amazon.com*ZG2US2PN2 Amzn.com/bill WA
BF-20250116-001,2025-01-16,Hamburger,Hamburger - Restaurant,65.04,Meals,Restaurant,Chase,pending,NOT_REIMBURSED,Business restaurant,Backfill: TST*HAMBURGER AMERICA New York NY
BF-20250117-001,2025-01-17,Amazon,Amazon - Supplies,62.69,Equipment,Supplies,Chase,email_available,NOT_REIMBURSED,Business supplies,Backfill: Amazon.com*ZG8F44832 Amzn.com/bill WA
BF-20250118-001,2025-01-18,DoorDash,DoorDash - Delivery,28.37,Meals,Delivery,Chase,email_available,NOT_REIMBURSED,Business delivery,Backfill: DD *DOORDASH XIANFAMOU 855-431-0459 CA
BF-20250119-001,2025-01-19,Square,Square - Restaurant,76.68,Meals,Restaurant,Chase,pending,NOT_REIMBURSED,Business restaurant,Backfill: SQ *SQUARE DINER New York NY
BF-20250119-002,2025-01-19,Aplpay,Aplpay - Other,19.58,Meals,Other,Amex,pending,NOT_REIMBURSED,Business other,Backfill: AplPay AMC 2112 TH SNEW YORK            NY
BF-20250120-001,2025-01-20,Aplpay,Aplpay - Other,20.00,Meals,Other,Amex,pending,NOT_REIMBURSED,Business other,Backfill: AplPay CLIPPER SYSTECONCORD             CA
BF-20250120-002,2025-01-20,Amc,Amc - Other,19.99,Meals,Other,Amex,pending,NOT_REIMBURSED,Business other,Backfill: AMC 9640 ONLINE*9640LEAWOOD             KS
BF-20250121-003,2025-01-21,Chez,Chez - Restaurant,84.69,Meals,Restaurant,Chase,pending,NOT_REIMBURSED,Business restaurant,Backfill: TST*CHEZ MAMAN - EAST San Francisco CA
BF-20250121-002,2025-01-21,DoorDash,DoorDash - Delivery,70.36,Meals,Delivery,Chase,email_available,NOT_REIMBURSED,Business delivery,Backfill: DD *DOORDASH MYDUMPLIN 855-431-0459 CA
BF-20250121-001,2025-01-21,Red,Red - Restaurant,34.83,Meals,Restaurant,Chase,pending,NOT_REIMBURSED,Business restaurant,Backfill: TST* RED HOT CHILLI PEPPE SAN CARLOS CA
BF-20250123-001,2025-01-23,Doppio,Doppio - Restaurant,93.53,Meals,Restaurant,Chase,pending,NOT_REIMBURSED,Business restaurant,Backfill: TST*DOPPIO ZERO - SAN CA San Carlos CA
BF-20250123-002,2025-01-23,Uber,Uber - Rideshare,8.74,Travel,Rideshare,Amex,email_available,NOT_REIMBURSED,Business rideshare,Backfill: UBER
BF-20250124-002,2025-01-24,Mensho,Mensho - Restaurant,96.48,Meals,Restaurant,Chase,pending,NOT_REIMBURSED,Business restaurant,Backfill: TST*MENSHO - GEARY San Francisco CA
BF-20250124-001,2025-01-24,DoorDash,DoorDash - Delivery,57.04,Meals,Delivery,Chase,email_available,NOT_REIMBURSED,Business delivery,Backfill: DD *DOORDASH POKEHOUSE 855-431-0459 CA
BF-20250124-003,2025-01-24,Uber,Uber - Rideshare,17.95,Travel,Rideshare,Amex,email_available,NOT_REIMBURSED,Business rideshare,Backfill: UBER
BF-20250125-001,2025-01-25,Delta Air Lines,Delta Air Lines - Airlines,551.96,Travel,Airlines,Amex,email_available,NOT_REIMBURSED,Business airlines,Backfill: DELTA AIR LINES
BF-20250126-001,2025-01-26,The,The - Restaurant,37.78,Meals,Restaurant,Chase,pending,NOT_REIMBURSED,Business restaurant,Backfill: TST*THE REFUGE - SAN CAR San Carlos CA
BF-20250128-003,2025-01-28,Sp,Sp - Other,87.30,Meals,Other,Amex,pending,NOT_REIMBURSED,Business other,Backfill: SP WWW.KOIO.CO      NEW YORK            NY
BF-20250128-001,2025-01-28,DoorDash,DoorDash - Delivery,35.10,Meals,Delivery,Chase,email_available,NOT_REIMBURSED,Business delivery,Backfill: DD *DOORDASH TABLAFORM 855-431-0459 CA
BF-20250128-004,2025-01-28,Apple,Apple - Hardware,31.79,Equipment,Hardware,Amex,email_available,NOT_REIMBURSED,Business hardware,Backfill: AplPay APPLE ONLINE CUPERTINO           CA
BF-20250129-001,2025-01-29,Impasto,Impasto - Restaurant,45.29,Meals,Restaurant,Chase,pending,NOT_REIMBURSED,Business restaurant,Backfill: TST*IMPASTO San Carlos CA
BF-20250129-002,2025-01-29,Uber,Uber - Rideshare,12.40,Travel,Rideshare,Amex,email_available,NOT_REIMBURSED,Business rideshare,Backfill: UBER
BF-20250130-001,2025-01-30,DoorDash,DoorDash - Delivery,78.89,Meals,Delivery,Chase,email_available,NOT_REIMBURSED,Business delivery,Backfill: DD *DOORDASH HUMMUSMED 855-431-0459 CA
BF-20250201-001,2025-02-01,DoorDash,DoorDash - Delivery,30.36,Meals,Delivery,Chase,email_available,NOT_REIMBURSED,Business delivery,Backfill: DD *DOORDASH CUBANKITC 855-431-0459 CA
BF-20250201-002,2025-02-01,Delta Air Lines,Delta Air Lines - Airlines,25.00,Travel,Airlines,Amex,found,NOT_REIMBURSED,Business airlines,Backfill: DELTA AIR LINES
RCP-2025-02-01-001,2025-02-01,Safeway,Safeway SF - Groceries,63.84,Meals,Groceries,Credit,photo,NOT_REIMBURSED,Office/team groceries - SF,San Francisco location
BF-20250202-002,2025-02-02,Amazon,Amazon - Supplies,505.94,Equipment,Supplies,Amex,email_available,NOT_REIMBURSED,Business supplies,Backfill: Amazon Web Services AWS.Amazon.com      WA
BF-20250202-001,2025-02-02,DoorDash,DoorDash - Delivery,24.16,Meals,Delivery,Chase,email_available,NOT_REIMBURSED,Business delivery,Backfill: DD *DOORDASH XIANFAMOU 855-431-0459 CA
BF-20250202-003,2025-02-02,Amazon,Amazon - Supplies,2.36,Equipment,Supplies,Amex,email_available,NOT_REIMBURSED,Business supplies,Backfill: Amazon Web Services AWS.Amazon.com      WA
BF-20250203-002,2025-02-03,Amazon,Amazon - Supplies,83.28,Equipment,Supplies,Chase,email_available,NOT_REIMBURSED,Business supplies,Backfill: AMAZON MKTPL*ZO5978E93 Amzn.com/bill WA
BF-20250203-001,2025-02-03,DoorDash,DoorDash - Delivery,41.00,Meals,Delivery,Chase,email_available,NOT_REIMBURSED,Business delivery,Backfill: DD *DOORDASH SOMTUMDER 855-431-0459 CA
BF-20250205-001,2025-02-05,DoorDash,DoorDash - Delivery,20.04,Meals,Delivery,Chase,email_available,NOT_REIMBURSED,Business delivery,Backfill: DD *DOORDASH EMPANADAM 855-431-0459 CA
BF-20250207-003,2025-02-07,DoorDash,DoorDash - Delivery,25.76,Meals,Delivery,Chase,email_available,NOT_REIMBURSED,Business delivery,Backfill: DD *DOORDASH SOOTHRTHA 855-431-0459 CA
BF-20250207-001,2025-02-07,Amazon,Amazon - Supplies,24.24,Equipment,Supplies,Chase,email_available,NOT_REIMBURSED,Business supplies,Backfill: AMAZON MKTPL*Q55ZW5QR3 Amzn.com/bill WA
BF-20250207-002,2025-02-07,Amazon,Amazon - Supplies,21.76,Equipment,Supplies,Chase,email_available,NOT_REIMBURSED,Business supplies,Backfill: AMAZON MKTPL*Z78594HC1 Amzn.com/bill WA
